,Released,Movie,Genre,Budget,Revenue,Trailer,Year
196,6/7/11 0:00,3D Aquarium,Documentary,,0,,2011
197,5/29/12 0:00,3D Mystic Mountains,Documentary,,0,,2012
198,8/12/11 0:00,3D Sex and Zen: Extreme Ecstasy,Comedy,,152365,,2011
199,12/31/08 0:00,3D Sun,Documentary,,0,,2008
200,4/7/06 0:00,4,Drama,,18926,,2006
201,7/31/12 0:00,4.3.2.1,,,0,,2012
202,3/23/12 0:00,4:44 Last Day on Earth,Drama,,17801,,2012
203,7/20/11 0:00,4 aventures de Reinette et Mirabelle,Comedy,,20589,,2011
204,7/9/97 0:00,4 Little Girls,Documentary,,218444,,1997
205,1/25/08 0:00,"4 luni, 3 saptamani si 2 zile",Drama,900000,1196321,,2008
206,8/16/13 0:00,Les 4 soldats,Drama,,33912,,2013
207,3/1/02 0:00,40 Days and 40 Nights,Romantic Comedy,17000000,37939782,,2002
208,12/31/12 0:00,40 Point Plan,,,0,,2012
209,8/19/05 0:00,The 40 Year-old Virgin,Comedy,26000000,109449237,,2005
210,12/31/09 0:00,The 41 Year Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,,,0,,2009
211,12/11/12 0:00,41,Documentary,,0,,2012
212,6/8/10 0:00,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,,,0,,2010
213,4/12/13 0:00,42,Drama,40000000,95020213,Play,2013
214,11/17/99 0:00,42: Forty Two Up,Documentary,,300680,,1999
215,3/9/33 0:00,42nd Street,Musical,439000,1438000,,1933
216,1/15/10 0:00,44 Inch Chest,,,39033,,2010
217,12/31/11 0:00,442nd,Drama,,0,,2011
218,2/26/10 0:00,45365,Documentary,,1909,,2010
219,12/25/13 0:00,47 Ronin,Action,175000000,38362475,Play,2013
220,12/31/08 0:00,48 heures par jour,,,0,,2008
221,12/8/82 0:00,48 Hrs.,Action,,75936265,,1982
222,10/6/06 0:00,49 Up,Documentary,,241772,,2006
223,11/22/02 0:00,The 4th Tenor,Comedy,,2152,,2002
224,5/30/12 0:00,5 Broken Cameras,Documentary,,109983,,2012
225,8/19/11 0:00,5 Days of War,Drama,12000000,17479,,2011
226,5/3/13 0:00,"5 de Mayo, La Batalla",Action,,173472,,2013
227,2/13/04 0:00,50 First Dates,Romantic Comedy,75000000,120776832,,2004
228,3/21/14 0:00,50 to 1,Drama,,163009,,2014
229,6/2/06 0:00,50 Ways of Saying Fabulous,Drama,,4800,,2006
230,7/17/09 0:00,(500) Days of Summer,Romantic Comedy,7500000,32391374,Play,2009
231,9/30/11 0:00,50/50,Black Comedy,8000000,35016118,Play,2011
232,10/19/10 0:00,50th Anniversary Christmas,Concert/Performance,,0,,2010
233,12/31/10 0:00,51,Horror,,0,,2010
234,10/18/06 0:00,51 Birch Street,Documentary,350000,84689,,2006
235,10/9/09 0:00,"5150, Rue des Ormes",,,1053966,,2009
236,11/7/86 0:00,52 Pick-Up,Action,,5186646,,1986
237,8/28/98 0:00,54,Drama,13000000,16757163,,1998
238,1/1/63 0:00,55 Days at Peking,Drama,17000000,10000000,,1963
239,1/4/13 0:00,56 Up,Documentary,,701278,,2013
240,12/31/11 0:00,58: The Film,,,0,,2011
241,3/25/11 0:00,The 5th Quarter,Drama,6000000,408159,,2011
242,6/10/05 0:00,5Ã—2,Comedy,,128752,,2005
